"Y","A","LIMIT_BAL","SEX","EDUCATION","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6"
0,1,300000,1,3,72,-1,-1,-1,-1,-1,2,4984,752,3737,1433,5522,3233,756,3753,1433,5522,0,27232
0,1,50000,0,3,43,-1,-1,-1,-2,-2,-2,150,809,-60,-210,-360,-510,809,0,0,0,0,0
0,0,80000,0,2,29,0,0,0,0,0,0,78626,78262,80000,82025,78521,78947,3400,3600,4000,3500,3000,4000
1,1,250000,0,2,38,2,0,0,0,0,0,236546,232795,189111,189558,185565,189003,8007,7000,8200,7000,7000,8000
1,1,440000,0,2,40,-1,-1,-1,-1,-1,-1,3278,2028,981,873,873,840,2035,982,874,874,841,7453
1,0,60000,0,2,29,0,0,0,0,0,2,60000,60594,57606,33159,36183,27572,3100,2000,3000,3800,0,2000
0,0,300000,0,2,37,1,-2,-2,-1,-1,-1,0,0,0,363,0,944,0,0,363,0,944,2000
0,1,350000,0,2,39,1,-2,-2,-2,-2,-2,0,0,0,0,590,0,0,0,0,590,0,0
0,0,470000,0,1,32,1,-2,-2,-1,-1,0,0,0,0,200,34325,37325,0,0,200,34325,3000,77412
0,1,200000,0,1,28,0,0,0,0,0,0,40559,44565,46815,52978,53970,56064,5000,3000,7000,2000,3000,3000
0,1,320000,0,1,30,-2,-2,-2,-2,-2,-2,1259,5152,4257,-3,-3,670,5177,4278,0,0,673,11288
0,1,90000,1,2,58,0,0,0,0,0,0,85818,88988,50780,50929,48735,49746,5100,2200,2200,1944,2200,2000
0,1,190000,1,3,38,0,0,0,0,0,0,94921,97397,99789,102131,104491,106755,4000,4000,4000,4000,4000,4000
0,0,80000,1,2,32,0,0,0,0,0,0,75149,76786,72626,29012,28653,28398,4003,3003,2003,1146,1403,1503
0,1,30000,0,2,33,2,2,0,0,0,0,29498,28718,29761,30203,29803,29803,1,2000,1400,0,0,67
0,0,70000,1,2,48,-1,-1,-1,-1,-1,-1,193,188,299,829,338,865,188,299,829,338,865,833
0,1,500000,1,1,42,0,0,0,0,0,0,580928,597793,597415,569034,551702,568638,25624,21898,20851,19599,26000,20000
0,1,120000,0,3,50,0,0,0,0,0,0,109372,111564,112482,115046,80987,85921,5500,4200,4552,3100,6416,0
0,1,150000,1,2,26,0,0,-1,0,0,0,69358,42457,92213,70406,70037,14461,4213,92457,5023,4311,7030,3054
0,1,50000,1,2,58,-1,-1,-1,2,2,-2,382,-286,954,1154,-572,-962,0,1908,764,0,0,0
0,1,90000,0,1,34,0,0,0,2,2,2,34302,35089,43449,42451,49718,48767,1640,9000,0,8000,0,2000
1,1,130000,1,1,43,0,0,0,0,0,0,121816,124223,62318,64214,44840,45969,6000,6000,3000,2000,2000,2000
0,0,130000,1,1,29,0,0,-1,-1,2,0,9700,0,72,10458,10149,11805,0,72,10458,0,2000,1230
0,0,50000,1,2,36,-1,0,0,0,0,0,3580,4597,5757,5869,5838,5971,1084,1244,356,212,230,205
0,0,60000,1,1,29,0,0,0,0,0,0,11976,13462,15231,16966,17878,19085,2000,2000,2000,1500,1500,1500
0,0,140000,0,2,26,0,0,0,0,2,0,141057,144306,141949,141345,136379,126211,7200,19000,10400,0,4931,9100
0,0,80000,1,1,35,0,0,-1,0,0,0,75734,93507,78716,53109,28973,24705,20000,79239,2516,1023,2000,1000
1,0,50000,0,3,22,0,0,-1,0,-1,-1,46811,40458,50622,42132,15311,19387,1036,50622,1149,15311,19387,385
0,0,240000,0,1,28,0,0,0,0,0,0,246310,250252,250169,249495,192368,196585,10500,9900,10907,7000,8000,7535
1,0,200000,0,3,40,0,0,0,2,0,0,44600,42954,44318,32010,33271,34297,3000,6032,0,3000,3000,3000
1,0,20000,1,2,31,2,2,2,2,0,0,13516,13996,14475,14936,15688,16435,1000,1000,1000,1000,1000,700
1,1,210000,0,2,56,1,-2,-2,-2,-2,-1,-325,-721,-1117,-1513,-1909,59017,0,0,0,0,61982,2200
0,0,200000,1,1,30,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,20271
0,1,400000,1,1,42,0,0,0,0,0,0,34084,36916,21089,22943,22994,25172,4085,1539,3013,3003,3003,5979
0,0,20000,1,2,30,2,2,2,2,0,0,13269,12391,12326,10621,10400,0,33,3317,0,1000,0,0
1,1,250000,1,2,53,0,0,2,0,0,0,177537,198017,192962,156134,161603,166631,25000,0,7000,8000,8000,5000
0,0,260000,0,1,30,-2,-2,-2,-2,-2,-2,893,2778,4052,977,977,452,2946,4052,977,977,452,2097
1,0,20000,1,2,47,0,0,0,0,0,0,15166,15014,16024,16345,17579,18750,1257,1267,588,1500,1500,0
0,1,50000,1,2,35,-1,-1,-1,-1,-1,0,780,0,390,390,28094,28263,0,390,390,28094,1011,965
1,0,210000,1,2,35,0,0,0,0,0,0,128595,131627,136428,54058,55398,56698,4606,6815,1800,2000,2000,2000
0,0,350000,1,2,34,-2,-2,-2,-2,-2,-2,2184,1445,2424,4582,5600,2927,1445,2424,4584,5610,2927,1298
0,0,50000,1,2,38,0,0,0,-2,-2,-2,26533,16426,0,0,0,0,1000,0,0,0,0,0
1,1,230000,0,3,39,1,2,-1,2,-1,0,6499,4791,4858,316,316,316,0,4858,0,632,0,2468
1,1,360000,0,2,38,-2,-1,-1,-1,-1,-1,0,212,3748,-2,666,919,212,3759,0,668,921,0
0,1,20000,0,3,49,0,0,0,0,0,0,12165,13171,14054,14900,15000,0,1517,1400,1200,300,0,0
0,0,120000,1,1,35,-1,-1,-1,-1,-1,2,326,326,176,-150,952,476,326,176,0,1428,0,476
0,1,150000,0,2,41,0,0,0,0,0,0,79021,77975,74749,80757,83685,81569,4023,3016,10000,4011,3073,3005
0,1,50000,0,2,24,0,0,0,0,0,0,49387,50284,50639,48563,49628,48293,2000,1727,1846,1777,1665,1500
0,1,110000,0,2,39,0,0,0,0,0,0,111533,110367,112974,108390,107180,107309,5500,5900,5500,5000,5000,4300
0,0,20000,1,2,31,-1,-1,-1,0,-1,-1,836,390,780,390,390,0,390,780,0,390,0,780
1,1,50000,1,3,51,0,0,0,0,0,0,47877,48519,46538,45465,18654,19042,2516,2106,2048,783,806,652
0,1,360000,0,2,25,-1,-1,-1,-1,-1,-1,442,442,442,442,434,442,444,444,444,436,452,886
0,1,80000,1,1,37,0,0,0,0,0,0,68553,69191,71918,71534,73344,75218,3000,3310,2200,2400,2500,2400
0,1,50000,1,2,35,0,0,0,0,0,0,47816,49694,48543,46366,9076,9812,3000,3000,3019,3000,1000,2000
1,1,140000,0,1,56,3,2,2,3,3,3,450,450,450,450,1450,1150,0,0,0,1000,0,0
0,0,60000,0,2,27,0,0,0,0,0,0,54900,55948,55188,55960,56564,57464,1971,2000,2003,2003,2070,2140
0,0,20000,1,2,45,-1,2,2,0,0,0,3213,4308,4093,4866,6781,7668,1300,0,1000,2000,1000,0
1,1,110000,0,3,36,0,0,-1,-1,-1,-2,2309,3238,250,3100,0,0,1002,450,3100,0,0,0
0,0,180000,0,3,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,80000,1,1,46,2,2,2,2,2,2,40509,40551,42592,43296,43892,43060,1000,3000,1700,1600,0,3500
0,1,150000,1,1,59,-2,-2,-2,-2,-2,-2,5066,2616,3766,3289,8356,10916,2616,4097,3371,8923,13919,8227
0,0,80000,0,2,27,-1,-1,-1,-1,-1,-2,390,390,0,780,0,0,390,390,780,0,0,0
1,0,500000,1,3,39,0,-1,-1,-1,-1,-1,32647,1832,1920,21734,1837,96,1832,1920,21734,1837,0,19637
1,1,500000,0,3,53,-2,-2,-2,-2,-2,-2,0,0,0,0,0,1150,0,0,0,0,1150,0
0,0,30000,0,2,23,2,0,0,2,2,2,16089,17127,19108,18503,20100,19629,1300,2272,0,1900,0,1000
0,0,50000,1,2,48,2,2,2,2,2,2,44489,45470,46424,45377,48441,47511,2000,2000,0,3800,0,1800
1,1,430000,1,3,47,1,-1,-1,-1,-1,-1,-18,6390,8833,9906,14239,9562,6408,8840,9954,14285,9584,26023
1,1,20000,1,1,42,3,2,2,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
0,1,170000,0,3,26,2,2,2,0,0,0,63977,63630,51986,90196,50464,48282,2550,0,3500,3000,2001,3000
0,0,280000,1,1,41,-2,-2,-2,-2,-1,0,28026,41302,51500,35752,3955,13969,41346,52110,35752,3955,13939,4437
0,1,220000,0,1,36,0,0,0,0,0,0,210475,216513,196219,200117,204312,208373,9639,7123,7162,7419,7462,8621
0,1,210000,0,2,35,0,0,0,0,0,0,37148,35754,34232,32331,30337,28012,2000,2000,2444,1342,1038,2000
0,0,240000,0,1,35,-1,-1,-1,-1,-1,-1,380,380,380,380,0,380,380,380,380,0,380,760
0,0,50000,0,1,29,0,0,0,0,0,0,44498,41897,17304,16544,14787,15975,4000,4000,2000,3000,3000,3000
0,0,400000,0,1,28,-1,-1,2,0,0,0,6500,405016,391178,392932,394410,410127,405016,0,14000,13560,28000,0
0,1,80000,0,2,36,0,0,0,0,0,0,77998,77452,74773,76908,77068,78434,3700,3500,4000,3200,4000,2700
0,0,90000,0,1,32,-1,-1,-1,-1,-1,-1,1560,23153,835,5225,736,736,23153,17395,5225,736,736,886
0,0,60000,0,1,26,0,0,0,0,0,0,36604,35777,29836,30818,31314,30852,1765,1812,1794,1290,1268,1273
1,0,50000,1,1,37,0,0,2,0,0,0,45553,49457,47080,45833,45310,6313,6324,0,1200,1000,126,1000
0,0,200000,0,2,31,0,0,0,0,0,0,192698,196484,177001,100908,98873,95548,8135,7163,3783,3766,3500,4000
0,0,160000,1,1,30,-1,-1,-1,-1,-1,-1,99,2977,15086,8578,13028,21712,2977,15086,9123,13028,29712,50000
0,0,450000,1,1,31,1,2,2,2,-2,-2,153246,151659,10199,0,0,0,4009,2000,0,0,0,0
0,1,130000,0,3,55,0,0,0,0,0,0,116336,121544,128243,115204,101158,95895,10063,20000,10009,10000,5000,5000
0,0,230000,0,2,27,0,0,0,0,0,0,24739,19712,18175,12109,11616,10134,2000,1928,1014,1000,203,34096
1,1,30000,0,3,29,2,2,2,2,2,0,15070,17509,17923,18134,17704,18256,3000,1000,800,0,1000,700
1,0,50000,0,2,25,0,0,0,0,0,0,16221,18965,19602,22156,22732,11378,3000,1500,4600,1000,600,258
0,1,50000,0,3,49,2,0,0,0,-2,-2,48297,50487,51400,0,0,0,3000,2400,0,0,0,0
0,0,230000,1,1,29,2,0,0,0,0,0,306836,295324,303082,307038,116506,19085,9062,10978,10361,2507,490,308
0,0,200000,0,1,32,-1,-1,-1,-1,0,-1,4640,17950,13056,2500,500,500,18116,13113,2522,0,500,500
0,0,70000,0,2,26,0,0,0,0,0,0,35867,28496,28401,22587,24361,25424,3000,3005,3000,3000,1500,1008
0,0,30000,1,2,42,0,0,2,0,0,0,18583,20940,20306,20965,21625,22055,2975,0,1000,1000,790,816
1,1,150000,1,2,44,0,0,-2,-2,-1,-1,143650,0,0,0,1000,0,0,0,0,1000,0,5000
0,0,50000,1,2,25,0,0,0,-1,-1,-2,11391,8081,16297,1000,0,0,1286,10048,1003,0,0,0
1,0,100000,1,1,27,2,0,0,2,2,2,34694,36014,39321,39145,39494,39896,1900,4200,900,1400,900,6440
0,1,30000,0,3,48,0,0,0,0,0,2,14834,15844,18883,17901,19241,18794,1261,3300,1301,1641,0,860
1,0,30000,1,2,27,0,0,0,2,0,0,25081,26358,29319,28510,29813,30179,2000,3700,0,2000,910,917
0,0,30000,1,1,33,-1,3,2,-1,0,0,31724,30923,29928,29498,27025,0,0,0,31200,541,0,0
0,1,260000,0,2,40,0,0,0,0,0,0,241565,244619,127074,14,124493,128463,13000,6500,0,124479,6000,6500
0,1,320000,1,2,39,0,0,-1,-1,0,0,310243,0,189018,131916,258800,96900,0,189018,132846,130400,193800,45313
1,1,460000,0,1,41,0,-1,-1,-2,-2,-1,6302,31293,0,0,0,18165,31321,0,0,0,18165,2008
0,0,150000,0,1,29,2,2,-2,-2,-2,-2,6241,0,0,0,0,0,0,0,0,0,0,0
0,0,80000,0,3,33,-1,2,-1,-1,-1,-1,780,390,814,390,390,390,0,814,390,390,390,1578
1,1,50000,1,2,53,0,0,0,0,0,0,47824,48954,46716,18685,19076,19466,1948,1835,669,692,707,695
0,1,30000,0,2,49,1,2,-1,-1,-1,2,10440,9972,16073,6342,8073,1731,0,16101,6342,1731,0,5517
0,1,200000,0,2,35,0,0,0,0,0,0,136264,138994,142744,146363,149920,153107,5000,6000,6000,6000,6000,6000
0,0,120000,1,1,33,1,-2,-2,-1,-1,-2,0,0,0,600,0,0,0,0,600,0,0,0
0,0,320000,0,1,29,-1,-1,-1,-1,-1,0,179226,-200,200,0,10000,210000,0,400,0,10000,200000,0
0,1,400000,0,1,35,-2,-2,-2,-2,-2,-2,4238,4329,6888,3519,77,927,5000,7013,3600,1500,1000,1000
0,1,50000,0,2,34,0,0,0,0,0,0,5745,4266,3047,3606,2390,1655,1023,1051,1000,50,10050,734
0,1,180000,0,2,39,0,0,0,0,0,0,166915,117351,115402,105844,98396,101390,6000,7030,8000,5396,5390,5006
0,1,80000,1,3,33,-1,-1,-1,-1,-1,-1,390,390,390,1936,390,390,390,390,1936,390,390,390
0,0,70000,0,2,24,0,0,0,0,0,0,67897,62826,62595,40327,48673,46158,3000,2916,2004,15006,3000,2200
0,0,20000,1,3,45,1,2,2,2,2,2,15748,16497,16928,17354,16934,18347,1300,1000,1000,0,1700,600
0,0,110000,1,1,36,0,0,0,0,0,0,104498,107819,109836,44356,45932,47473,5000,4823,2000,2000,2000,2000
0,1,450000,0,1,49,1,-1,-1,-1,-1,0,0,557,0,2481,13716,19584,557,0,2481,13716,7100,812
0,1,220000,1,2,43,0,0,0,0,0,0,84466,84356,84151,83591,83789,83885,4000,4000,3500,3500,3500,3500
1,1,210000,0,1,27,-1,-1,-1,-1,-1,-2,4426,0,1349,10368,0,0,0,1349,10368,0,0,0
0,0,140000,0,2,38,0,0,0,0,0,0,135034,133283,132765,123208,97154,97687,4729,5434,4751,3500,3500,3800
0,0,180000,1,2,33,-2,-2,-2,-2,-2,-2,3187,3198,264,7352,1385,7880,3198,264,7373,1385,7880,0
0,1,500000,0,2,54,0,0,0,0,0,0,455977,397418,392278,375931,364134,354019,13455,13691,12692,11883,11922,10032
0,0,100000,0,2,35,0,0,0,0,0,0,5830,6694,7855,8076,8297,9349,1118,1279,500,500,1349,1691
0,1,260000,0,3,40,-2,-2,-2,-2,-2,-2,-6,-6,1302,2752,1114,2212,0,1308,2765,1119,2218,625
0,0,240000,0,2,37,-2,-2,-2,-2,-2,-2,500,0,0,0,0,0,0,0,0,0,0,0
0,1,30000,0,1,22,1,2,2,0,0,0,25229,25533,24441,24441,11255,0,1000,0,0,0,0,0
0,0,150000,1,1,28,0,0,0,0,0,0,88506,58699,60252,62245,64202,66167,2200,2500,3000,3000,3000,3000
0,0,20000,1,2,21,0,0,0,0,0,0,22291,15999,12874,8350,7500,8500,1700,1174,4000,150,1000,0
0,0,500000,1,1,29,-1,-1,-1,-1,0,-1,20641,25986,23721,20799,34132,56917,26111,24112,20886,28032,57196,49720
0,1,180000,0,2,46,-2,-2,-2,-2,-2,-2,0,12103,2250,899,0,1375,12103,2250,899,0,1375,0
0,0,160000,0,1,40,-1,-1,-1,-1,-1,-1,661,2881,362,20680,7429,527,2881,362,20680,7429,527,0
1,1,260000,1,1,53,-1,3,2,0,0,-1,1361,1188,792,792,396,2289,0,0,396,0,2289,164047
1,1,30000,0,3,47,2,2,2,0,0,2,11652,12461,11970,12981,14077,14367,1300,0,1214,1310,660,0
0,1,120000,0,2,49,0,0,0,0,-2,-2,3903,2246,3040,0,0,0,1300,1000,0,0,0,0
0,1,490000,1,1,28,0,0,0,0,0,0,325669,206515,144853,132268,118899,79223,10041,7415,7025,44324,3119,2780
1,0,50000,1,2,40,0,0,0,0,0,0,30211,48389,52230,18887,17693,18074,21190,5144,591,577,609,505
0,1,320000,0,3,51,-1,-1,-1,-1,-1,0,8391,2855,1021,953,868,872,2869,1026,957,868,4,954
0,1,50000,1,2,48,0,0,0,-1,0,-1,48187,48344,46895,49161,6690,5665,46895,1775,51209,428,5665,8745
1,1,190000,1,1,39,1,-2,-2,-2,-2,-2,-2,-2,-472,-472,-472,-472,0,0,0,0,0,0
0,1,300000,0,3,39,1,-2,-1,-1,-1,-1,-3928,-5973,4735,6186,116,14429,1720,344467,6822,49,15000,12000
0,0,200000,0,1,26,0,0,0,0,0,0,134780,138349,141821,145144,148268,151604,6000,6000,6000,6000,6000,6200
0,1,20000,1,3,52,-1,-1,-1,-1,-1,-1,2912,390,780,780,780,390,390,780,780,780,390,780
